date,description,holiday_type,closed_exchanges,open_exchanges
2025-11-05,Prakash Gurpurb Sri Guru Nanak Dev,TRADING_HOLIDAY,"['NSE', 'NFO', 'CDS', 'BSE', 'BFO', 'BCD']","[{'exchange': 'MCX', 'start_time': 1762342200000, 'end_time': 1762367100000}, {'exchange': 'NSCOM', 'start_time': 1762342200000, 'end_time': 1762367100000}]"
2025-11-08,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-11-09,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-11-15,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-11-16,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-11-22,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-11-23,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-11-29,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-11-30,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-12-06,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-12-07,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-12-13,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-12-14,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-12-20,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-12-21,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-12-25,Christmas,TRADING_HOLIDAY,"['NSE', 'NFO', 'CDS', 'BSE', 'BFO', 'BCD', 'MCX', 'NSCOM']",[]
2025-12-27,Weekend,WEEKEND,"['NSE', 'BSE']",[]
2025-12-28,Weekend,WEEKEND,"['NSE', 'BSE']",[]
